Date,Hostel Name,City,Country,Avg Bed Price (£),Occupancy
2023-02-05,Pisa Centrale,Pisa,Italy,42.04,158
2023-02-05,Warsaw Old Town,Warsaw,Poland,39.15,158
2023-02-05,Lisbon Bairro Alto,Lisbon,Portugal,32.3,154
2023-02-05,Bratislava Presidential Palace,Bratislava,Slovakia,46.79,164
2023-02-05,Barcelona Gothic,Barcelona,Spain,28.95,124
2023-02-05,Barcelona Passeig de Gracia,Barcelona,Spain,28.85,160
2023-02-05,"Calpe Seafront, Costa Blanca",Calpe,Spain,41.6,164
2023-02-05,Córdoba Mezquita Catedral,Cordoba,Spain,29.98,146
2023-02-05,Madrid Central,Madrid,Spain,28.7,146
2023-02-05,Glasgow Charing Cross,Glasgow,United Kingdom,29.29,164
2023-02-05,Edinburgh Cowgate,Edinburgh,United Kingdom,33.63,100
2023-02-05,London Elephant & Castle,London,United Kingdom,36.92,128
2023-02-05,London Kensington Holland Park,London,United Kingdom,40.13,144
2023-02-05,York Micklegate,York,United Kingdom,42.07,128
2023-02-06,Brussels Grand Place,Brussels,Belgium,33.0,124
2023-02-06,Prague Charles Bridge,Prague,Czech Republic,21.94,101
2023-02-06,Berlin Kurfürstendamm,Berlin,Germany,34.95,121
2023-02-06,Athens Monastiraki,Athens,Greece,36.65,105
2023-02-06,Pisa Centrale,Pisa,Italy,30.63,131
2023-02-06,Warsaw Old Town,Warsaw,Poland,37.89,106
2023-02-06,Lisbon Bairro Alto,Lisbon,Portugal,30.9,97
2023-02-06,Bratislava Presidential Palace,Bratislava,Slovakia,31.91,142
2023-02-06,Barcelona Gothic,Barcelona,Spain,33.14,102
2023-02-06,Barcelona Passeig de Gracia,Barcelona,Spain,35.66,111
2023-02-06,"Calpe Seafront, Costa Blanca",Calpe,Spain,37.41,73
2023-02-06,Córdoba Mezquita Catedral,Cordoba,Spain,25.38,142
2023-02-06,Madrid Central,Madrid,Spain,26.82,92
2023-02-06,Glasgow Charing Cross,Glasgow,United Kingdom,33.87,113
2023-02-06,Edinburgh Cowgate,Edinburgh,United Kingdom,37.78,113
2023-02-06,London Elephant & Castle,London,United Kingdom,40.14,124
2023-02-06,London Kensington Holland Park,London,United Kingdom,35.72,107
2023-02-06,York Micklegate,York,United Kingdom,26.24,68
2023-02-07,Brussels Grand Place,Brussels,Belgium,34.13,58
2023-02-07,Prague Charles Bridge,Prague,Czech Republic,28.89,131
2023-02-07,Berlin Kurfürstendamm,Berlin,Germany,41.75,112
2023-02-07,Athens Monastiraki,Athens,Greece,30.18,104
2023-02-07,Pisa Centrale,Pisa,Italy,35.58,109
2023-02-07,Warsaw Old Town,Warsaw,Poland,30.48,111
2023-02-07,Lisbon Bairro Alto,Lisbon,Portugal,37.94,92
2023-02-07,Bratislava Presidential Palace,Bratislava,Slovakia,33.51,144
2023-02-07,Barcelona Gothic,Barcelona,Spain,33.51,113
2023-02-07,Barcelona Passeig de Gracia,Barcelona,Spain,22.85,94
2023-02-07,"Calpe Seafront, Costa Blanca",Calpe,Spain,23.22,98
2023-02-07,Córdoba Mezquita Catedral,Cordoba,Spain,29.82,128
2023-02-07,Madrid Central,Madrid,Spain,32.63,121
2023-02-07,Glasgow Charing Cross,Glasgow,United Kingdom,36.51,82
2023-02-07,Edinburgh Cowgate,Edinburgh,United Kingdom,28.99,100
2023-02-07,London Elephant & Castle,London,United Kingdom,29.89,105
2023-02-07,London Kensington Holland Park,London,United Kingdom,32.84,89
2023-02-07,York Micklegate,York,United Kingdom,34.41,102
2023-02-08,Brussels Grand Place,Brussels,Belgium,35.31,130
2023-02-08,Prague Charles Bridge,Prague,Czech Republic,40.45,90
2023-02-08,Berlin Kurfürstendamm,Berlin,Germany,36.41,123
2023-02-08,Athens Monastiraki,Athens,Greece,37.65,125
2023-02-08,Pisa Centrale,Pisa,Italy,35.86,128
2023-02-08,Warsaw Old Town,Warsaw,Poland,30.66,109
2023-02-08,Lisbon Bairro Alto,Lisbon,Portugal,29.95,92
2023-02-08,Bratislava Presidential Palace,Bratislava,Slovakia,26.73,81
2023-02-08,Barcelona Gothic,Barcelona,Spain,38.48,113
2023-02-08,Barcelona Passeig de Gracia,Barcelona,Spain,37.91,128
2023-02-08,"Calpe Seafront, Costa Blanca",Calpe,Spain,35.1,115
2023-02-08,Córdoba Mezquita Catedral,Cordoba,Spain,25.53,102
2023-02-08,Madrid Central,Madrid,Spain,30.45,91
2023-02-08,Glasgow Charing Cross,Glasgow,United Kingdom,31.39,60
2023-02-08,Edinburgh Cowgate,Edinburgh,United Kingdom,39.99,100
2023-02-08,London Elephant & Castle,London,United Kingdom,34.5,71
2023-02-08,London Kensington Holland Park,London,United Kingdom,20.9,134
2023-02-08,York Micklegate,York,United Kingdom,34.54,100
2023-02-09,Brussels Grand Place,Brussels,Belgium,33.93,102
2023-02-09,Prague Charles Bridge,Prague,Czech Republic,37.53,103
2023-02-09,Berlin Kurfürstendamm,Berlin,Germany,34.67,108
2023-02-09,Athens Monastiraki,Athens,Greece,27.3,97
2023-02-09,Pisa Centrale,Pisa,Italy,27.04,86
2023-02-09,Warsaw Old Town,Warsaw,Poland,37.83,105
2023-02-09,Lisbon Bairro Alto,Lisbon,Portugal,31.42,127
2023-02-09,Bratislava Presidential Palace,Bratislava,Slovakia,33.75,98
2023-02-09,Barcelona Gothic,Barcelona,Spain,33.19,84
2023-02-09,Barcelona Passeig de Gracia,Barcelona,Spain,34.65,106
2023-02-09,"Calpe Seafront, Costa Blanca",Calpe,Spain,36.86,128
2023-02-09,Córdoba Mezquita Catedral,Cordoba,Spain,31.54,94
2023-02-09,Madrid Central,Madrid,Spain,36.19,71
2023-02-09,Glasgow Charing Cross,Glasgow,United Kingdom,26.04,135
2023-02-09,Edinburgh Cowgate,Edinburgh,United Kingdom,25.27,145
2023-02-09,London Elephant & Castle,London,United Kingdom,41.33,138
2023-02-09,London Kensington Holland Park,London,United Kingdom,39.64,95
2023-02-09,York Micklegate,York,United Kingdom,28.28,103
2023-02-10,Brussels Grand Place,Brussels,Belgium,25.8,105
2023-02-10,Prague Charles Bridge,Prague,Czech Republic,24.46,107
2023-02-10,Berlin Kurfürstendamm,Berlin,Germany,38.28,107
2023-02-10,Athens Monastiraki,Athens,Greece,35.64,108
2023-02-10,Pisa Centrale,Pisa,Italy,35.18,139
2023-02-10,Warsaw Old Town,Warsaw,Poland,39.09,100
2023-02-10,Lisbon Bairro Alto,Lisbon,Portugal,33.02,100
2023-02-10,Bratislava Presidential Palace,Bratislava,Slovakia,29.35,103
2023-02-10,Barcelona Gothic,Barcelona,Spain,31.26,59
2023-02-10,Barcelona Passeig de Gracia,Barcelona,Spain,32.19,127
2023-02-10,"Calpe Seafront, Costa Blanca",Calpe,Spain,31.9,108
2023-02-10,Córdoba Mezquita Catedral,Cordoba,Spain,36.2,117
2023-02-10,Madrid Central,Madrid,Spain,39.9,93
2023-02-10,Glasgow Charing Cross,Glasgow,United Kingdom,42.06,63
2023-02-10,Edinburgh Cowgate,Edinburgh,United Kingdom,37.42,103
2023-02-10,London Elephant & Castle,London,United Kingdom,39.67,107
2023-02-10,London Kensington Holland Park,London,United Kingdom,34.47,104
2023-02-10,York Micklegate,York,United Kingdom,33.46,91
2023-02-11,Brussels Grand Place,Brussels,Belgium,36.12,110
2023-02-11,Prague Charles Bridge,Prague,Czech Republic,41.29,155
2023-02-11,Berlin Kurfürstendamm,Berlin,Germany,40.5,135
2023-02-11,Athens Monastiraki,Athens,Greece,29.43,121
2023-02-11,Pisa Centrale,Pisa,Italy,44.21,145
2023-02-11,Warsaw Old Town,Warsaw,Poland,34.03,138
2023-02-11,Lisbon Bairro Alto,Lisbon,Portugal,30.18,125
2023-02-11,Bratislava Presidential Palace,Bratislava,Slovakia,29.99,157
2023-02-11,Barcelona Gothic,Barcelona,Spain,40.6,155
2023-02-11,Barcelona Passeig de Gracia,Barcelona,Spain,29.27,127
2023-02-11,"Calpe Seafront, Costa Blanca",Calpe,Spain,38.44,160
2023-02-11,Córdoba Mezquita Catedral,Cordoba,Spain,39.12,120
2023-02-11,Madrid Central,Madrid,Spain,31.97,131
2023-02-11,Glasgow Charing Cross,Glasgow,United Kingdom,29.7,152
2023-02-11,Edinburgh Cowgate,Edinburgh,United Kingdom,31.13,128
2023-02-11,London Elephant & Castle,London,United Kingdom,38.44,106
2023-02-11,London Kensington Holland Park,London,United Kingdom,31.07,139
2023-02-11,York Micklegate,York,United Kingdom,31.47,126
2023-02-12,Brussels Grand Place,Brussels,Belgium,42.99,137
2023-02-12,Prague Charles Bridge,Prague,Czech Republic,31.29,152
2023-02-12,Berlin Kurfürstendamm,Berlin,Germany,29.29,117
2023-02-12,Athens Monastiraki,Athens,Greece,40.44,147
2023-02-12,Pisa Centrale,Pisa,Italy,43.4,101
2023-02-12,Warsaw Old Town,Warsaw,Poland,30.8,164
2023-02-12,Lisbon Bairro Alto,Lisbon,Portugal,44.86,125
2023-02-12,Bratislava Presidential Palace,Bratislava,Slovakia,41.45,154
2023-02-12,Barcelona Gothic,Barcelona,Spain,30.72,125
2023-02-12,Barcelona Passeig de Gracia,Barcelona,Spain,25.46,130
2023-02-12,"Calpe Seafront, Costa Blanca",Calpe,Spain,37.8,152
2023-02-12,Córdoba Mezquita Catedral,Cordoba,Spain,30.56,125
2023-02-12,Madrid Central,Madrid,Spain,33.02,159
2023-02-12,Glasgow Charing Cross,Glasgow,United Kingdom,36.25,164
2023-02-12,Edinburgh Cowgate,Edinburgh,United Kingdom,26.39,149
2023-02-12,London Elephant & Castle,London,United Kingdom,36.11,153
2023-02-12,London Kensington Holland Park,London,United Kingdom,34.29,146
2023-02-12,York Micklegate,York,United Kingdom,37.4,146
2023-02-13,Brussels Grand Place,Brussels,Belgium,25.09,124
2023-02-13,Prague Charles Bridge,Prague,Czech Republic,34.19,87
2023-02-13,Berlin Kurfürstendamm,Berlin,Germany,28.41,113
2023-02-13,Athens Monastiraki,Athens,Greece,27.81,128
2023-02-13,Pisa Centrale,Pisa,Italy,33.95,84
2023-02-13,Warsaw Old Town,Warsaw,Poland,23.07,60
2023-02-13,Lisbon Bairro Alto,Lisbon,Portugal,29.4,121
2023-02-13,Bratislava Presidential Palace,Bratislava,Slovakia,26.89,82
2023-02-13,Barcelona Gothic,Barcelona,Spain,34.39,122
2023-02-13,Barcelona Passeig de Gracia,Barcelona,Spain,36.01,91
2023-02-13,"Calpe Seafront, Costa Blanca",Calpe,Spain,28.25,91
2023-02-13,Córdoba Mezquita Catedral,Cordoba,Spain,30.43,120
2023-02-13,Madrid Central,Madrid,Spain,30.83,109
2023-02-13,Glasgow Charing Cross,Glasgow,United Kingdom,29.2,95
2023-02-13,Edinburgh Cowgate,Edinburgh,United Kingdom,30.5,114
2023-02-13,London Elephant & Castle,London,United Kingdom,35.23,110
2023-02-13,London Kensington Holland Park,London,United Kingdom,29.44,144
2023-02-13,York Micklegate,York,United Kingdom,28.72,131
2023-02-14,Brussels Grand Place,Brussels,Belgium,31.49,86
2023-02-14,Prague Charles Bridge,Prague,Czech Republic,23.85,96
2023-02-14,Berlin Kurfürstendamm,Berlin,Germany,29.15,92
2023-02-14,Athens Monastiraki,Athens,Greece,31.12,134
2023-02-14,Pisa Centrale,Pisa,Italy,28.36,77
2023-02-14,Warsaw Old Town,Warsaw,Poland,36.77,112
2023-02-14,Lisbon Bairro Alto,Lisbon,Portugal,36.19,106
2023-02-14,Bratislava Presidential Palace,Bratislava,Slovakia,28.22,114
2023-02-14,Barcelona Gothic,Barcelona,Spain,26.68,126
2023-02-14,Barcelona Passeig de Gracia,Barcelona,Spain,28.49,92
2023-02-14,"Calpe Seafront, Costa Blanca",Calpe,Spain,31.83,112
2023-02-14,Córdoba Mezquita Catedral,Cordoba,Spain,34.77,132
2023-02-14,Madrid Central,Madrid,Spain,32.33,101
2023-02-14,Glasgow Charing Cross,Glasgow,United Kingdom,24.71,123
2023-02-14,Edinburgh Cowgate,Edinburgh,United Kingdom,35.94,101
2023-02-14,London Elephant & Castle,London,United Kingdom,33.0,139
2023-02-14,London Kensington Holland Park,London,United Kingdom,26.56,122
2023-02-14,York Micklegate,York,United Kingdom,26.26,104
2023-02-15,Brussels Grand Place,Brussels,Belgium,38.7,99
2023-02-15,Prague Charles Bridge,Prague,Czech Republic,27.98,158
2023-02-15,Berlin Kurfürstendamm,Berlin,Germany,38.39,82
2023-02-15,Athens Monastiraki,Athens,Greece,31.17,115
2023-02-15,Pisa Centrale,Pisa,Italy,38.7,120
2023-02-15,Warsaw Old Town,Warsaw,Poland,31.82,116
2023-02-15,Lisbon Bairro Alto,Lisbon,Portugal,35.71,98
2023-02-15,Bratislava Presidential Palace,Bratislava,Slovakia,32.32,98
2023-02-15,Barcelona Gothic,Barcelona,Spain,36.91,95
2023-02-15,Barcelona Passeig de Gracia,Barcelona,Spain,36.38,131
2023-02-15,"Calpe Seafront, Costa Blanca",Calpe,Spain,21.04,98
2023-02-15,Córdoba Mezquita Catedral,Cordoba,Spain,36.69,139
2023-02-15,Madrid Central,Madrid,Spain,30.66,119
2023-02-15,Glasgow Charing Cross,Glasgow,United Kingdom,27.19,131
2023-02-15,Edinburgh Cowgate,Edinburgh,United Kingdom,29.43,116
2023-02-15,London Elephant & Castle,London,United Kingdom,33.01,99
2023-02-15,London Kensington Holland Park,London,United Kingdom,30.25,103
2023-02-15,York Micklegate,York,United Kingdom,25.98,121
2023-02-16,Brussels Grand Place,Brussels,Belgium,35.16,128
2023-02-16,Prague Charles Bridge,Prague,Czech Republic,32.95,89
2023-02-16,Berlin Kurfürstendamm,Berlin,Germany,27.13,109
2023-02-16,Athens Monastiraki,Athens,Greece,24.33,122
2023-02-16,Pisa Centrale,Pisa,Italy,26.13,118
2023-02-16,Warsaw Old Town,Warsaw,Poland,29.67,102
2023-02-16,Lisbon Bairro Alto,Lisbon,Portugal,31.81,84
2023-02-16,Bratislava Presidential Palace,Bratislava,Slovakia,29.4,91
2023-02-16,Barcelona Gothic,Barcelona,Spain,46.91,107
2023-02-16,Barcelona Passeig de Gracia,Barcelona,Spain,39.63,103
2023-02-16,"Calpe Seafront, Costa Blanca",Calpe,Spain,31.84,108
2023-02-16,Córdoba Mezquita Catedral,Cordoba,Spain,39.02,102
2023-02-16,Madrid Central,Madrid,Spain,24.59,104
2023-02-16,Glasgow Charing Cross,Glasgow,United Kingdom,38.48,101
2023-02-16,Edinburgh Cowgate,Edinburgh,United Kingdom,34.61,120
2023-02-16,London Elephant & Castle,London,United Kingdom,41.14,106
2023-02-16,London Kensington Holland Park,London,United Kingdom,37.47,63
2023-02-16,York Micklegate,York,United Kingdom,31.57,111
2023-02-17,Brussels Grand Place,Brussels,Belgium,32.23,117
2023-02-17,Prague Charles Bridge,Prague,Czech Republic,27.27,122
2023-02-17,Berlin Kurfürstendamm,Berlin,Germany,31.98,81
2023-02-17,Athens Monastiraki,Athens,Greece,28.35,93
2023-02-17,Pisa Centrale,Pisa,Italy,37.67,145
2023-02-17,Warsaw Old Town,Warsaw,Poland,29.23,146
2023-02-17,Lisbon Bairro Alto,Lisbon,Portugal,33.22,109
2023-02-17,Bratislava Presidential Palace,Bratislava,Slovakia,34.62,87
2023-02-17,Barcelona Gothic,Barcelona,Spain,40.4,94
2023-02-17,Barcelona Passeig de Gracia,Barcelona,Spain,32.8,78
2023-02-17,"Calpe Seafront, Costa Blanca",Calpe,Spain,31.41,111
2023-02-17,Córdoba Mezquita Catedral,Cordoba,Spain,22.79,96
2023-02-17,Madrid Central,Madrid,Spain,34.05,81
2023-02-17,Glasgow Charing Cross,Glasgow,United Kingdom,29.8,113
2023-02-17,Edinburgh Cowgate,Edinburgh,United Kingdom,29.03,106
2023-02-17,London Elephant & Castle,London,United Kingdom,34.28,129
2023-02-17,London Kensington Holland Park,London,United Kingdom,28.13,108
2023-02-17,York Micklegate,York,United Kingdom,40.25,77
2023-02-18,Brussels Grand Place,Brussels,Belgium,37.73,164
2023-02-18,Prague Charles Bridge,Prague,Czech Republic,31.66,160
2023-02-18,Berlin Kurfürstendamm,Berlin,Germany,28.01,125
2023-02-18,Athens Monastiraki,Athens,Greece,30.61,158
2023-02-18,Pisa Centrale,Pisa,Italy,39.21,138
2023-02-18,Warsaw Old Town,Warsaw,Poland,41.93,133
2023-02-18,Lisbon Bairro Alto,Lisbon,Portugal,39.64,109
2023-02-18,Bratislava Presidential Palace,Bratislava,Slovakia,41.4,164
2023-02-18,Barcelona Gothic,Barcelona,Spain,38.29,116
2023-02-18,Barcelona Passeig de Gracia,Barcelona,Spain,42.37,164
2023-02-18,"Calpe Seafront, Costa Blanca",Calpe,Spain,36.0,157
2023-02-18,Córdoba Mezquita Catedral,Cordoba,Spain,27.95,164
2023-02-18,Madrid Central,Madrid,Spain,28.49,124
2023-02-18,Glasgow Charing Cross,Glasgow,United Kingdom,33.77,98
2023-02-18,Edinburgh Cowgate,Edinburgh,United Kingdom,45.58,145
2023-02-18,London Elephant & Castle,London,United Kingdom,32.73,108
2023-02-18,London Kensington Holland Park,London,United Kingdom,34.75,149
2023-02-18,York Micklegate,York,United Kingdom,32.45,154
2023-02-19,Brussels Grand Place,Brussels,Belgium,35.65,142
2023-02-19,Prague Charles Bridge,Prague,Czech Republic,44.86,132
2023-02-19,Berlin Kurfürstendamm,Berlin,Germany,37.17,136
2023-02-19,Athens Monastiraki,Athens,Greece,27.02,164
2023-02-19,Pisa Centrale,Pisa,Italy,33.34,119
2023-02-19,Warsaw Old Town,Warsaw,Poland,24.6,146
2023-02-19,Lisbon Bairro Alto,Lisbon,Portugal,27.75,144
2023-02-19,Bratislava Presidential Palace,Bratislava,Slovakia,32.24,154
2023-02-19,Barcelona Gothic,Barcelona,Spain,29.39,139
2023-02-19,Barcelona Passeig de Gracia,Barcelona,Spain,30.83,117
2023-02-19,"Calpe Seafront, Costa Blanca",Calpe,Spain,32.49,134
2023-02-19,Córdoba Mezquita Catedral,Cordoba,Spain,30.05,137
2023-02-19,Madrid Central,Madrid,Spain,29.85,144
2023-02-19,Glasgow Charing Cross,Glasgow,United Kingdom,35.28,124
2023-02-19,Edinburgh Cowgate,Edinburgh,United Kingdom,34.6,164
2023-02-19,London Elephant & Castle,London,United Kingdom,35.93,164
2023-02-19,London Kensington Holland Park,London,United Kingdom,32.77,135
2023-02-19,York Micklegate,York,United Kingdom,41.3,119
2023-02-20,Brussels Grand Place,Brussels,Belgium,35.2,128
2023-02-20,Prague Charles Bridge,Prague,Czech Republic,38.95,129
2023-02-20,Berlin Kurfürstendamm,Berlin,Germany,27.58,119
2023-02-20,Athens Monastiraki,Athens,Greece,33.05,133
2023-02-20,Pisa Centrale,Pisa,Italy,26.12,103
2023-02-20,Warsaw Old Town,Warsaw,Poland,35.08,64
2023-02-20,Lisbon Bairro Alto,Lisbon,Portugal,29.66,113
2023-02-20,Bratislava Presidential Palace,Bratislava,Slovakia,26.0,117
2023-02-20,Barcelona Gothic,Barcelona,Spain,35.08,139
2023-02-20,Barcelona Passeig de Gracia,Barcelona,Spain,30.21,111
2023-02-20,"Calpe Seafront, Costa Blanca",Calpe,Spain,32.52,141
2023-02-20,Córdoba Mezquita Catedral,Cordoba,Spain,37.43,107
2023-02-20,Madrid Central,Madrid,Spain,29.5,100
2023-02-20,Glasgow Charing Cross,Glasgow,United Kingdom,36.59,85
2023-02-20,Edinburgh Cowgate,Edinburgh,United Kingdom,40.12,107
2023-02-20,London Elephant & Castle,London,United Kingdom,26.07,115
2023-02-20,London Kensington Holland Park,London,United Kingdom,31.21,68
2023-02-20,York Micklegate,York,United Kingdom,28.18,90
2023-02-21,Brussels Grand Place,Brussels,Belgium,30.21,128
2023-02-21,Prague Charles Bridge,Prague,Czech Republic,26.07,75
2023-02-21,Berlin Kurfürstendamm,Berlin,Germany,24.05,119
2023-02-21,Athens Monastiraki,Athens,Greece,32.32,116
2023-02-21,Pisa Centrale,Pisa,Italy,31.18,110
2023-02-21,Warsaw Old Town,Warsaw,Poland,37.81,93
2023-02-21,Lisbon Bairro Alto,Lisbon,Portugal,32.36,96
2023-02-21,Bratislava Presidential Palace,Bratislava,Slovakia,35.98,100
2023-02-21,Barcelona Gothic,Barcelona,Spain,29.73,129
2023-02-21,Barcelona Passeig de Gracia,Barcelona,Spain,36.39,164
2023-02-21,"Calpe Seafront, Costa Blanca",Calpe,Spain,27.86,96
2023-02-21,Córdoba Mezquita Catedral,Cordoba,Spain,30.7,118
2023-02-21,Madrid Central,Madrid,Spain,39.17,106
2023-02-21,Glasgow Charing Cross,Glasgow,United Kingdom,31.77,90
2023-02-21,Edinburgh Cowgate,Edinburgh,United Kingdom,34.82,97
2023-02-21,London Elephant & Castle,London,United Kingdom,41.18,125
2023-02-21,London Kensington Holland Park,London,United Kingdom,31.05,102
2023-02-21,York Micklegate,York,United Kingdom,40.16,119
2023-02-22,Brussels Grand Place,Brussels,Belgium,37.08,119
2023-02-22,Prague Charles Bridge,Prague,Czech Republic,33.69,106
2023-02-22,Berlin Kurfürstendamm,Berlin,Germany,39.9,96
2023-02-22,Athens Monastiraki,Athens,Greece,26.59,127
2023-02-22,Pisa Centrale,Pisa,Italy,35.02,117
2023-02-22,Warsaw Old Town,Warsaw,Poland,30.16,70
2023-02-22,Lisbon Bairro Alto,Lisbon,Portugal,41.21,98
2023-02-22,Bratislava Presidential Palace,Bratislava,Slovakia,41.83,132
2023-02-22,Barcelona Gothic,Barcelona,Spain,28.66,118
2023-02-22,Barcelona Passeig de Gracia,Barcelona,Spain,23.86,83
2023-02-22,"Calpe Seafront, Costa Blanca",Calpe,Spain,34.63,105
2023-02-22,Córdoba Mezquita Catedral,Cordoba,Spain,26.5,87
2023-02-22,Madrid Central,Madrid,Spain,33.42,128
2023-02-22,Glasgow Charing Cross,Glasgow,United Kingdom,26.04,126
2023-02-22,Edinburgh Cowgate,Edinburgh,United Kingdom,31.32,97
2023-02-22,London Elephant & Castle,London,United Kingdom,26.47,128
2023-02-22,London Kensington Holland Park,London,United Kingdom,28.47,110
2023-02-22,York Micklegate,York,United Kingdom,32.93,116
2023-02-23,Brussels Grand Place,Brussels,Belgium,34.54,116
2023-02-23,Prague Charles Bridge,Prague,Czech Republic,31.98,94
2023-02-23,Berlin Kurfürstendamm,Berlin,Germany,35.2,106
2023-02-23,Athens Monastiraki,Athens,Greece,37.11,71
2023-02-23,Pisa Centrale,Pisa,Italy,27.41,137
2023-02-23,Warsaw Old Town,Warsaw,Poland,41.78,95
2023-02-23,Lisbon Bairro Alto,Lisbon,Portugal,33.0,93
2023-02-23,Bratislava Presidential Palace,Bratislava,Slovakia,36.79,82
2023-02-23,Barcelona Gothic,Barcelona,Spain,24.36,114
2023-02-23,Barcelona Passeig de Gracia,Barcelona,Spain,38.94,113
2023-02-23,"Calpe Seafront, Costa Blanca",Calpe,Spain,26.06,109
2023-02-23,Córdoba Mezquita Catedral,Cordoba,Spain,36.0,118
2023-02-23,Madrid Central,Madrid,Spain,30.24,123
2023-02-23,Glasgow Charing Cross,Glasgow,United Kingdom,36.35,109
2023-02-23,Edinburgh Cowgate,Edinburgh,United Kingdom,27.64,123
2023-02-23,London Elephant & Castle,London,United Kingdom,36.71,107
2023-02-23,London Kensington Holland Park,London,United Kingdom,27.27,111
2023-02-23,York Micklegate,York,United Kingdom,35.13,126
2023-02-24,Brussels Grand Place,Brussels,Belgium,37.69,125
2023-02-24,Prague Charles Bridge,Prague,Czech Republic,38.02,122
2023-02-24,Berlin Kurfürstendamm,Berlin,Germany,30.53,127
2023-02-24,Athens Monastiraki,Athens,Greece,27.05,85
2023-02-24,Pisa Centrale,Pisa,Italy,32.81,90
2023-02-24,Warsaw Old Town,Warsaw,Poland,26.0,134
2023-02-24,Lisbon Bairro Alto,Lisbon,Portugal,30.59,122
2023-02-24,Bratislava Presidential Palace,Bratislava,Slovakia,29.18,152
2023-02-24,Barcelona Gothic,Barcelona,Spain,30.22,72
2023-02-24,Barcelona Passeig de Gracia,Barcelona,Spain,37.88,138
2023-02-24,"Calpe Seafront, Costa Blanca",Calpe,Spain,33.95,118
2023-02-24,Córdoba Mezquita Catedral,Cordoba,Spain,38.81,98
2023-02-24,Madrid Central,Madrid,Spain,29.73,92
2023-02-24,Glasgow Charing Cross,Glasgow,United Kingdom,36.5,106
2023-02-24,Edinburgh Cowgate,Edinburgh,United Kingdom,35.97,133
2023-02-24,London Elephant & Castle,London,United Kingdom,38.51,107
2023-02-24,London Kensington Holland Park,London,United Kingdom,25.64,79
2023-02-24,York Micklegate,York,United Kingdom,28.74,110
2023-02-25,Brussels Grand Place,Brussels,Belgium,32.79,146
2023-02-25,Prague Charles Bridge,Prague,Czech Republic,36.94,144
2023-02-25,Berlin Kurfürstendamm,Berlin,Germany,35.6,134
2023-02-25,Athens Monastiraki,Athens,Greece,25.63,160
2023-02-25,Pisa Centrale,Pisa,Italy,33.44,150
2023-02-25,Warsaw Old Town,Warsaw,Poland,31.22,164
2023-02-25,Lisbon Bairro Alto,Lisbon,Portugal,39.02,149
2023-02-25,Bratislava Presidential Palace,Bratislava,Slovakia,31.3,147
2023-02-25,Barcelona Gothic,Barcelona,Spain,36.55,115
2023-02-25,Barcelona Passeig de Gracia,Barcelona,Spain,41.17,144
2023-02-25,"Calpe Seafront, Costa Blanca",Calpe,Spain,37.1,135
2023-02-25,Córdoba Mezquita Catedral,Cordoba,Spain,32.42,145
2023-02-25,Madrid Central,Madrid,Spain,38.86,129
2023-02-25,Glasgow Charing Cross,Glasgow,United Kingdom,37.4,163
2023-02-25,Edinburgh Cowgate,Edinburgh,United Kingdom,36.21,144
2023-02-25,London Elephant & Castle,London,United Kingdom,39.76,144
2023-02-25,London Kensington Holland Park,London,United Kingdom,38.05,156
2023-02-25,York Micklegate,York,United Kingdom,38.64,118
2023-02-26,Brussels Grand Place,Brussels,Belgium,28.4,164
2023-02-26,Prague Charles Bridge,Prague,Czech Republic,38.87,159
2023-02-26,Berlin Kurfürstendamm,Berlin,Germany,35.8,164
2023-02-26,Athens Monastiraki,Athens,Greece,29.78,139
2023-02-26,Pisa Centrale,Pisa,Italy,29.34,138
2023-02-26,Warsaw Old Town,Warsaw,Poland,37.39,148
2023-02-26,Lisbon Bairro Alto,Lisbon,Portugal,36.24,137
2023-02-26,Bratislava Presidential Palace,Bratislava,Slovakia,37.38,134
2023-02-26,Barcelona Gothic,Barcelona,Spain,32.57,138
2023-02-26,Barcelona Passeig de Gracia,Barcelona,Spain,31.24,147
2023-02-26,"Calpe Seafront, Costa Blanca",Calpe,Spain,34.0,164
2023-02-26,Córdoba Mezquita Catedral,Cordoba,Spain,37.27,135
2023-02-26,Madrid Central,Madrid,Spain,33.77,156
2023-02-26,Glasgow Charing Cross,Glasgow,United Kingdom,30.65,127
2023-02-26,Edinburgh Cowgate,Edinburgh,United Kingdom,32.97,137
2023-02-26,London Elephant & Castle,London,United Kingdom,35.89,146
2023-02-26,London Kensington Holland Park,London,United Kingdom,42.44,157
2023-02-26,York Micklegate,York,United Kingdom,37.14,123
2023-02-27,Brussels Grand Place,Brussels,Belgium,32.97,135
2023-02-27,Prague Charles Bridge,Prague,Czech Republic,29.33,100
2023-02-27,Berlin Kurfürstendamm,Berlin,Germany,38.32,136
2023-02-27,Athens Monastiraki,Athens,Greece,30.44,96
2023-02-27,Pisa Centrale,Pisa,Italy,31.18,164
2023-02-27,Warsaw Old Town,Warsaw,Poland,21.76,125
2023-02-27,Lisbon Bairro Alto,Lisbon,Portugal,27.99,64
2023-02-27,Bratislava Presidential Palace,Bratislava,Slovakia,27.45,55
2023-02-27,Barcelona Gothic,Barcelona,Spain,25.94,124
2023-02-27,Barcelona Passeig de Gracia,Barcelona,Spain,38.71,124
2023-02-27,"Calpe Seafront, Costa Blanca",Calpe,Spain,36.21,114
